dt,lat,lng,altitude,angle,speed,params
2014-05-05 15:45:26,52.273437,20.967138,88,44,76,""
2014-05-05 15:45:36,52.274746,20.969414,85,48,75,""
2014-05-05 15:45:45,52.27607,20.971813,86,48,77,""
2014-05-05 15:45:55,52.277302,20.974125,82,49,74,""
2014-05-05 15:46:05,52.278502,20.976466,77,50,79,""
2014-05-05 15:46:15,52.279635,20.978773,75,51,81,""
2014-05-05 15:46:24,52.280787,20.981077,75,49,76,""
2014-05-05 15:46:34,52.281978,20.983491,53,48,70,""
2014-05-05 15:46:45,52.283098,20.98583,50,52,73,""
2014-05-05 15:46:54,52.284157,20.988424,84,53,79,""
2014-05-05 15:47:02,52.285254,20.990822,92,52,82,""
2014-05-05 15:47:12,52.286406,20.99335,94,53,76,""
2014-05-05 15:47:23,52.287581,20.99591,93,53,68,""
2014-05-05 15:47:44,52.288704,20.998384,87,53,45,""
2014-05-05 15:47:58,52.289824,21.00099,86,58,70,""
2014-05-05 15:48:07,52.290733,21.003755,86,62,93,""
2014-05-05 15:48:15,52.291651,21.006634,86,62,106,""
2014-05-05 15:48:22,52.29255,21.00945,88,62,112,""
2014-05-05 15:48:29,52.293437,21.012206,88,62,105,""
2014-05-05 15:48:36,52.29432,21.014994,86,61,90,""
2014-05-05 15:48:45,52.295197,21.017904,81,63,91,""
2014-05-05 15:48:54,52.296019,21.020562,79,60,83,""
2014-05-05 15:49:02,52.296954,21.02364,74,62,107,""
2014-05-05 15:49:09,52.297894,21.026528,76,62,105,""
2014-05-05 15:49:16,52.298752,21.029411,76,65,105,""
2014-05-05 15:49:23,52.299542,21.032168,82,67,96,""
2014-05-05 15:49:31,52.300339,21.035219,79,67,103,""
2014-05-05 15:49:37,52.301037,21.037942,76,67,103,""
2014-05-05 15:49:45,52.301837,21.041026,82,67,101,""
2014-05-05 15:49:53,52.302602,21.044006,80,67,99,""
2014-05-05 15:50:02,52.30336,21.047022,79,67,101,""
2014-05-05 15:50:09,52.304051,21.049763,81,67,104,""
2014-05-05 15:50:16,52.304765,21.052597,83,67,108,""
2014-05-05 15:50:23,52.305485,21.055427,81,67,106,""
2014-05-05 15:50:30,52.306179,21.058208,80,69,106,""
2014-05-05 15:50:36,52.306774,21.061133,78,74,107,""
2014-05-05 15:50:43,52.307168,21.064131,78,80,107,""
2014-05-05 15:50:50,52.307376,21.067122,80,86,104,""
2014-05-05 15:50:58,52.307414,21.070082,78,90,106,""
2014-05-05 15:51:05,52.307408,21.073218,77,89,110,""
2014-05-05 15:51:12,52.307408,21.076459,77,89,115,""
2014-05-05 15:51:19,52.307405,21.079624,78,90,107,""
2014-05-05 15:51:27,52.307398,21.082824,79,89,94,""
2014-05-05 15:51:35,52.307418,21.085853,80,85,95,""
2014-05-05 15:51:42,52.307549,21.089222,84,89,109,""
2014-05-05 15:51:50,52.307549,21.092416,87,89,86,""
2014-05-05 15:51:56,52.307683,21.093915,85,60,55,""
2014-05-05 15:52:00,52.307968,21.094328,81,32,54,""
2014-05-05 15:52:03,52.308346,21.094496,79,5,55,""
2014-05-05 15:52:07,52.308867,21.094322,75,345,54,""
2014-05-05 15:52:12,52.30952,21.094197,72,9,50,""
2014-05-05 15:52:24,52.31127,21.09549,75,26,73,""
2014-05-05 15:52:32,52.312893,21.096803,76,24,82,""
2014-05-05 15:52:42,52.314557,21.098147,79,26,67,""
