dt,lat,lng,altitude,angle,speed,params
2014-05-05 15:45:18,51.297558,5.062522,23,88,130,""
2014-05-05 15:45:24,51.297536,5.065638,22,91,130,""
2014-05-05 15:45:30,51.297405,5.068753,23,94,130,""
2014-05-05 15:45:36,51.297197,5.071855,23,96,130,""
2014-05-05 15:45:42,51.296918,5.074942,26,98,130,""
2014-05-05 15:45:48,51.296589,5.078017,27,100,130,""
2014-05-05 15:45:54,51.296224,5.08108,28,100,130,""
2014-05-05 15:46:00,51.29584,5.084136,28,101,130,""
2014-05-05 15:46:06,51.295459,5.087195,28,101,130,""
2014-05-05 15:46:12,51.295107,5.090257,28,100,130,""
2014-05-05 15:46:18,51.294797,5.093322,29,98,128,""
2014-05-05 15:46:24,51.294531,5.096408,28,96,130,""
2014-05-05 15:46:31,51.294339,5.099508,27,94,130,""
2014-05-05 15:46:37,51.294246,5.102614,27,92,130,""
2014-05-05 15:46:43,51.29423,5.105727,27,89,130,""
2014-05-05 15:46:49,51.294301,5.108837,26,87,130,""
2014-05-05 15:46:55,51.294467,5.111942,26,84,130,""
2014-05-05 15:47:01,51.294707,5.11504,25,82,130,""
2014-05-05 15:47:07,51.295037,5.118105,26,79,130,""
2014-05-05 15:47:13,51.29545,5.121147,25,77,130,""
2014-05-05 15:47:19,51.295933,5.124163,25,74,130,""
2014-05-05 15:47:26,51.296502,5.127145,25,72,130,""
2014-05-05 15:47:31,51.297158,5.130095,26,69,130,""
2014-05-05 15:47:37,51.297882,5.132986,28,67,130,""
2014-05-05 15:47:43,51.298669,5.135826,29,65,130,""
2014-05-05 15:47:49,51.299475,5.138645,30,65,130,""
2014-05-05 15:47:55,51.300269,5.141502,32,66,130,""
2014-05-05 15:48:01,51.301043,5.14438,31,67,130,""
2014-05-05 15:48:07,51.301747,5.147313,28,69,130,""
2014-05-05 15:48:14,51.302406,5.150248,26,70,130,""
2014-05-05 15:48:19,51.302995,5.1532,25,72,130,""
2014-05-05 15:48:25,51.303539,5.156183,26,74,130,""
2014-05-05 15:48:31,51.304061,5.159178,27,73,130,""
2014-05-05 15:48:37,51.304618,5.162166,28,72,130,""
2014-05-05 15:48:43,51.305232,5.165127,30,70,130,""
2014-05-05 15:48:49,51.30592,5.168048,29,68,130,""
2014-05-05 15:48:55,51.306659,5.170935,29,67,130,""
2014-05-05 15:49:01,51.307446,5.173785,29,65,130,""
2014-05-05 15:49:07,51.308285,5.176602,29,63,130,""
2014-05-05 15:49:13,51.309155,5.179385,30,62,130,""
2014-05-05 15:49:19,51.310048,5.182133,30,62,130,""
2014-05-05 15:49:25,51.310925,5.184795,31,62,122,""
2014-05-05 15:49:32,51.311827,5.187615,30,62,112,""
2014-05-05 15:49:40,51.312557,5.190458,31,70,80,""
2014-05-05 15:50:02,51.313248,5.192902,34,64,0,""
2014-05-05 15:56:20,51.314301,5.1955,34,56,59,""
2014-05-05 15:56:30,51.31528,5.198268,33,61,88,""
2014-05-05 15:56:39,51.316266,5.201135,32,61,107,""
2014-05-05 15:56:46,51.31721,5.20396,31,61,119,""
2014-05-05 15:56:51,51.318096,5.206642,30,62,129,""
2014-05-05 15:56:57,51.319021,5.209493,31,62,133,""
2014-05-05 15:57:03,51.319949,5.212332,32,62,134,""
2014-05-05 15:57:09,51.320899,5.215245,32,62,139,""
2014-05-05 15:57:15,51.321856,5.218154,31,62,133,""
2014-05-05 15:57:21,51.322787,5.220902,30,61,132,""
2014-05-05 15:57:27,51.323731,5.223755,30,62,136,""
2014-05-05 15:57:33,51.324691,5.226618,29,61,135,""
2014-05-05 15:57:40,51.325699,5.229418,30,58,134,""
2014-05-05 15:57:45,51.326819,5.232083,31,54,133,""
2014-05-05 15:57:51,51.328022,5.23459,29,51,131,""
2014-05-05 15:57:57,51.329312,5.236965,27,48,132,""
2014-05-05 15:58:03,51.330643,5.239282,28,47,130,""
2014-05-05 15:58:09,51.331984,5.241557,29,47,130,""
2014-05-05 15:58:15,51.333328,5.243845,31,47,130,""
2014-05-05 15:58:21,51.334662,5.24613,32,47,131,""
2014-05-05 15:58:27,51.335994,5.24842,31,47,130,""
2014-05-05 15:58:34,51.337325,5.250717,31,47,131,""
2014-05-05 15:58:39,51.338646,5.253026,32,47,130,""
2014-05-05 15:58:45,51.339955,5.25535,31,48,130,""
2014-05-05 15:58:51,51.341264,5.25768,31,48,130,""
2014-05-05 15:58:57,51.342579,5.26001,32,48,130,""
2014-05-05 15:59:03,51.343894,5.262337,33,47,130,""
2014-05-05 15:59:09,51.345206,5.264658,35,48,130,""
2014-05-05 15:59:15,51.346515,5.266992,36,48,130,""
2014-05-05 15:59:22,51.347811,5.269337,33,48,130,""
2014-05-05 15:59:27,51.349101,5.271676,30,48,130,""
2014-05-05 15:59:33,51.350429,5.273998,34,48,130,""
2014-05-05 15:59:39,51.351738,5.276332,36,48,130,""
2014-05-05 15:59:45,51.353024,5.278708,34,50,130,""
2014-05-05 15:59:51,51.35424,5.281162,31,52,130,""
2014-05-05 15:59:57,51.355411,5.283678,29,54,130,""
2014-05-05 16:00:03,51.356522,5.286254,28,55,130,""
2014-05-05 16:00:09,51.357619,5.288832,29,55,130,""
2014-05-05 16:00:16,51.358714,5.29141,31,55,130,""
2014-05-05 16:00:21,51.359811,5.29399,33,55,130,""
2014-05-05 16:00:27,51.360915,5.296582,32,55,130,""
2014-05-05 16:00:33,51.362019,5.299182,32,56,130,""
2014-05-05 16:01:08,51.36312,5.301772,32,55,130,""
2014-05-05 16:01:14,51.364224,5.304356,32,55,131,""
2014-05-05 16:01:20,51.365341,5.306937,33,54,130,""
2014-05-05 16:01:26,51.366464,5.309504,31,55,130,""
2014-05-05 16:01:33,51.367565,5.312093,29,56,130,""
2014-05-05 16:01:38,51.368637,5.314717,27,55,130,""
2014-05-05 16:01:44,51.369744,5.317302,26,55,130,""
2014-05-05 16:01:50,51.370845,5.31989,27,55,130,""
2014-05-05 16:01:56,51.371946,5.322485,26,55,131,""
2014-05-05 16:02:02,51.373046,5.32507,27,55,130,""
2014-05-05 16:02:08,51.374154,5.32765,27,55,130,""
2014-05-05 16:02:14,51.375261,5.330236,28,55,130,""
2014-05-05 16:02:21,51.376541,5.333267,27,55,130,""
2014-05-05 16:02:28,51.377648,5.335853,29,55,132,""
2014-05-05 16:02:34,51.378797,5.338557,29,55,139,""
2014-05-05 16:02:40,51.380006,5.341392,28,55,144,""
2014-05-05 16:02:45,51.381024,5.343782,28,56,145,""
2014-05-05 16:02:50,51.382064,5.346233,28,55,149,""
2014-05-05 16:02:55,51.383114,5.348754,28,56,152,""
2014-05-05 16:03:00,51.384147,5.351332,26,57,153,""
2014-05-05 16:03:05,51.385171,5.35394,26,58,154,""
2014-05-05 16:03:10,51.38617,5.35658,25,59,153,""
2014-05-05 16:03:15,51.387085,5.359073,24,59,141,""
2014-05-05 16:03:21,51.388096,5.361832,23,59,132,""
2014-05-05 16:03:27,51.389091,5.364534,22,59,131,""
2014-05-05 16:03:33,51.39009,5.367228,22,59,130,""
2014-05-05 16:03:39,51.391094,5.369926,22,59,130,""
2014-05-05 16:03:45,51.392093,5.37263,21,59,130,""
2014-05-05 16:03:51,51.393078,5.375333,18,59,130,""
2014-05-05 16:03:57,51.394086,5.378016,18,59,130,""
2014-05-05 16:04:03,51.395008,5.38079,19,64,130,""
2014-05-05 16:04:09,51.395722,5.383723,20,71,132,""
2014-05-05 16:04:15,51.396243,5.386918,20,77,140,""
2014-05-05 16:04:21,51.396557,5.390342,22,83,145,""
2014-05-05 16:04:26,51.396736,5.393257,22,83,146,""
2014-05-05 16:04:31,51.396998,5.396144,23,79,145,""
2014-05-05 16:04:36,51.397437,5.398955,24,74,145,""
2014-05-05 16:04:42,51.398048,5.401705,24,68,147,""
2014-05-05 16:04:46,51.398826,5.404433,22,65,152,""
2014-05-05 16:04:51,51.399632,5.407238,22,65,155,""
2014-05-05 16:04:56,51.400445,5.410083,21,65,157,""
2014-05-05 16:05:01,51.401242,5.41287,21,65,150,""
2014-05-05 16:05:06,51.402016,5.415612,18,65,150,""
2014-05-05 16:05:12,51.402874,5.41875,17,66,139,""
2014-05-05 16:05:18,51.403642,5.421852,17,70,140,""
2014-05-05 16:05:24,51.404234,5.425092,18,77,138,""
2014-05-05 16:05:30,51.404307,5.428238,19,88,124,""
2014-05-05 16:05:35,51.404614,5.430215,18,63,95,""
2014-05-05 16:05:39,51.405171,5.431348,17,43,89,""
2014-05-05 16:05:42,51.405763,5.431758,11,23,85,""
2014-05-05 16:05:47,51.406742,5.432115,11,359,79,""
2014-05-05 16:05:56,51.40849,5.4312,25,347,74,""
2014-05-05 16:06:06,51.410426,5.430802,35,354,83,""
2014-05-05 16:06:15,51.412339,5.430425,34,351,82,""
2014-05-05 16:06:24,51.414275,5.43028,36,8,82,""
2014-05-05 16:06:35,51.41616,5.430863,28,352,70,""
2014-05-05 16:06:51,51.416934,5.430732,29,348,0,""
2014-05-05 16:07:23,51.417053,5.430625,26,321,21,""
2014-05-05 16:07:24,51.417123,5.430517,25,293,22,""
2014-05-05 16:07:28,51.417168,5.430008,24,265,36,""
2014-05-05 16:07:48,51.417034,5.428245,15,263,0,""
2014-05-05 16:08:21,51.417024,5.428102,19,225,16,""
2014-05-05 16:08:23,51.416918,5.42802,18,193,24,""
2014-05-05 16:08:28,51.416435,5.428008,15,173,47,""
2014-05-05 16:08:39,51.414688,5.428808,12,170,73,""
2014-05-05 16:08:49,51.412762,5.429238,17,169,88,""
